GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
books-apirest,com.company.books.backend.response,BookResponseRest,15,0,0,0,5,0,3,0,3,0
books-apirest,com.company.books.backend.response,TokenResponse,13,0,0,0,6,0,3,0,3,0
books-apirest,com.company.books.backend.response,ResponseRest,3,33,0,0,1,8,1,2,1,2
books-apirest,com.company.books.backend.response,BookResponse,10,0,0,0,4,0,3,0,3,0
books-apirest,com.company.books.backend.response,CategoryResponse,0,10,0,0,0,4,0,3,0,3
books-apirest,com.company.books.backend.response,CategoryResponseRest,4,11,0,0,2,3,1,2,1,2
books-apirest,com.company.books.backend,BooksApirestApplication,8,3,0,0,3,1,1,1,1,1
books-apirest,com.company.books.backend.request,AuthRequest,17,0,0,0,7,0,5,0,5,0
books-apirest,com.company.books.backend.filter,JwtReqFilter,62,3,10,0,15,1,6,1,1,1
books-apirest,com.company.books.backend.config,ConfigSecurity,0,169,0,0,0,22,0,7,0,7
books-apirest,com.company.books.backend.models,Category,21,15,0,0,9,7,6,2,6,2
books-apirest,com.company.books.backend.models,Book,28,3,0,0,12,1,8,1,8,1
books-apirest,com.company.books.backend.controllers,BookRestController,35,3,0,0,10,1,5,1,5,1
books-apirest,com.company.books.backend.controllers,CategoryRestController,28,10,0,0,8,3,4,2,4,2
books-apirest,com.company.books.backend.controllers,TokenController,28,3,0,0,4,1,1,1,1,1
books-apirest,com.company.books.backend.services,BookServiceImpl,358,7,8,0,86,2,9,2,5,2
books-apirest,com.company.books.backend.services,JwtService,100,3,4,0,19,1,10,1,8,1
books-apirest,com.company.books.backend.services,CategoryServiceImpl,324,35,8,0,78,9,8,3,4,3
